accepted,years,Teff_K,luminosity_Lsun,radius_Rsun,nuclear_fraction
1041,148141468.28575125,2911.5932815822844,0.0018193039039004,0.16762715317329188,0.06582407399857888
1042,148441468.28575125,2911.378979970946,0.0018165689390677977,0.16752576843799183,0.06622976059875783
1043,148741468.28575125,2911.167801563972,0.0018138517708273197,0.16742471919164045,0.06663654613581266
1044,149041468.28575125,2910.959024825748,0.0018111504460782042,0.16732400067505124,0.06704449489439271
1045,149341468.28575125,2910.752291867156,0.0018084639638483826,0.16722360986283147,0.06745363733522557
1046,149641468.28575125,2910.5466070671964,0.0018057896535090055,0.16712353944863845,0.06786406746717555
1047,149941468.28575125,2910.3500801610267,0.001803148246504404,0.16702382020176287,0.06827499882776258
1048,150241468.28575125,2910.1540003027994,0.001800517223665788,0.1669244129466723,0.06868726951227945
1049,150541468.28575125,2909.956234510322,0.0017978908297197178,0.16682529632340512,0.06910109683846208
1050,150841468.28575125,2909.756337553096,0.001795267677729997,0.1667264569649221,0.06951653510945974
1051,151141468.28575125,2909.555099874666,0.0017926501952032538,0.16662791692147694,0.06993349078895504
1052,151441468.28575125,2909.3580512404715,0.0017900524518051101,0.16652969781487137,0.07035141250608276
1053,151741468.28575125,2909.159072753756,0.0017874586872317754,0.16643176892464162,0.07077091238578659
1054,152041468.28575125,2908.9592606699907,0.0017848717772953931,0.16633413878236072,0.07119187672725881
1055,152341468.28575125,2908.758166691972,0.0017822904600618332,0.16623680022009396,0.07161435548638777
1056,152641468.28575125,2908.5557113901014,0.001779714445114996,0.1661397489695454,0.07203836027602642
1057,152941468.28575125,2908.3519226356075,0.0017771437735689443,0.16604298393494216,0.07246388909432538
1058,153241468.28575125,2908.1472711073566,0.0017745796083148352,0.16594650595066807,0.072890894164087
1059,153541468.28575125,2907.9414450871964,0.0017720211369007832,0.1658503129561117,0.07331940800925223
1060,153841468.28575125,2907.7314410728136,0.0017694607083991445,0.16575438928074468,0.07374974784254866
1061,154141468.28575125,2907.52188665032,0.0017669099086937918,0.165658749530686,0.07418143408291984
1062,154441468.28575125,2907.3129407876027,0.001764369300323294,0.16556340300943828,0.0746144395003234
1063,154741468.28575125,2907.103933572809,0.0017618368856150983,0.16546833328008168,0.07504884499910369
1064,155041468.28575125,2906.8968944204257,0.0017593178906171326,0.16537355581031168,0.07548442477000036
1065,155341468.28575125,2906.689151890548,0.0017568054109628234,0.16527905135871657,0.07592147016593523
1066,155641468.28575125,2906.4813468332345,0.0017543011328977603,0.16518482691193911,0.07635990662010407
1067,155941468.28575125,2906.2725599268,0.0017518032485538374,0.1650909024824377,0.07679980992693032
1068,156241468.28575125,2906.063830470207,0.0017493141777653015,0.16499727455705177,0.07724107249356613
1069,156541468.28575125,2905.855062665269,0.0017468334850178917,0.1649039343036069,0.07768371038834487
1070,156841468.28575125,2905.661795347957,0.001744400417282455,0.1648109738035481,0.0781259673824233
1071,157141468.28575125,2905.4778201694085,0.001741998851555736,0.16471834273528507,0.07856853928579546
1072,157441468.28575125,2905.2933425017313,0.0017396040552277257,0.16462598585970098,0.07901252429638578
1073,157741468.28575125,2905.1084072237218,0.001737216045265239,0.16453389939677662,0.07945791976997142
1074,158041468.28575125,2904.9236671173344,0.001734836544928863,0.16444209162414927,0.07990464426668466
1075,158341468.28575125,2904.733756871985,0.0017324522311783514,0.16435053855407966,0.0803533102028278
1076,158641468.28575125,2904.543432665781,0.0017300748010023767,0.16425925589471904,0.08080337982539079
1077,158941468.28575125,2904.3535250852806,0.0017277061827706784,0.16416824190101026,0.08125476085159727
1078,159241468.28575125,2904.163868634885,0.0017253457879858544,0.16407748818765594,0.08170747806017871
1079,159541468.28575125,2903.9753088663924,0.0017229959441097467,0.16398701081842676,0.08216141680424348
1080,159841468.28575125,2903.787163311963,0.0017206547956722296,0.16389679967411755,0.08261666085418612
1081,160141468.28575125,2903.6005254121983,0.0017183249486096123,0.16380685647485818,0.08307308108229278
1082,160441468.28575125,2903.4140544505203,0.0017160031311764972,0.16371717770905034,0.08353083064684716
1083,160741468.28575125,2903.2240304140983,0.0017136801831563841,0.16362774614264225,0.08399035386634784
1084,161041468.28575125,2903.0214917930775,0.0017113342623767446,0.16353852691516527,0.08445272782017589
1085,161341468.28575125,2902.817896754287,0.001708993424736128,0.16344956640055985,0.0849165848078139
1086,161641468.28575125,2902.6075906153733,0.001706643768709539,0.16336083600334317,0.08538261698118256
1087,161941468.28575125,2902.3970428284547,0.0017043011117218569,0.16327236319010327,0.08585004012172856
1088,162241468.28575125,2902.187004299931,0.001701967267368259,0.16318415105712783,0.08631876014619011
1089,162541468.28575125,2901.9797937854246,0.0016996483728645654,0.16309623436072837,0.08678845976370834
1090,162841468.28575125,2901.7778478532155,0.0016973499065621963,0.1630086044363503,0.08725884966810947
1091,163141468.28575125,2901.57780949193,0.00169506322718526,0.1629212260321348,0.08773036313785275
1092,163441468.28575125,2901.3839957130344,0.0016927987988510657,0.16283411935731,0.0882024488510238
1093,163741468.28575125,2901.1982488044023,0.0016905610978739268,0.16274729655570377,0.0886748581274622
1094,164041468.28575125,2901.0141668793985,0.0016883345217855153,0.16266072808461363,0.08914839226422193
1095,164341468.28575125,2900.8315913057254,0.001686118647788982,0.16257441269411374,0.08962306753886845
1096,164641468.28575125,2900.6509618578284,0.0016839145658241134,0.16248835497682915,0.09009881937465278
1097,164941468.28575125,2900.4727394931747,0.0016817232978150907,0.16240255412144888,0.09057558584120264
1098,165241468.28575125,2900.2970009959045,0.0016795448928627716,0.16231700555343684,0.09105335670024299
1099,165541468.28575125,2900.1123902749405,0.001677352143312092,0.1622316657077087,0.09153360388107872
1100,165841468.28575125,2899.927900950448,0.0016751666210606212,0.1621465696997611,0.09201516038588999
1101,166141468.28575125,2899.7432272404103,0.0016729875395873292,0.16206171428209945,0.09249806621261235
1102,166441468.28575125,2899.558123557289,0.0016708142465296457,0.16197709580401734,0.09298235460352026
1103,166741468.28575125,2899.3727310535965,0.0016686471253137306,0.16189271752431147,0.09346800171389355
