run,model,age_yr,central_X,central_Y3,L_Lsun,R_Rsun,Teff_K,central_convective_flag
ferguson-20000,4948,2632611191517.5864,0.0648232343414356,5.5025844827579424e-05,0.007832936259143155,0.11915135834411385,4975.0,1
ferguson-20000,4949,2632685771523.0405,0.06480379664278547,5.498554931314212e-05,0.007832936259143155,0.11915135834411385,4975.0,1
ferguson-20000,4950,2632760318877.692,0.06478436821771773,5.4945292639016396e-05,0.007833944618599792,0.11915135834411385,4975.0,1
ferguson-20000,4951,2632834833607.6104,0.06476494905869566,5.490507477533967e-05,0.007834952978056427,0.11915135834411385,4976.0,1
ferguson-20000,4952,2632909314891.573,0.06474553929812622,5.4864845491293875e-05,0.007835961337513062,0.11915135834411385,4976.0,1
ferguson-20000,4953,2632983763545.887,0.0647261387827433,5.482465966291908e-05,0.007835961337513062,0.11915135834411385,4976.0,1
ferguson-20000,4954,2633058179662.401,0.06470674749559673,5.478452039519246e-05,0.007836969696969696,0.11915135834411385,4976.0,1
ferguson-20000,4955,2633132563270.4956,0.06468736543100927,5.474442658901889e-05,0.007837978056426333,0.11905131522207849,4977.0,1
ferguson-20000,4956,2633206914393.5864,0.06466799258397553,5.470437696209746e-05,0.007838986415882968,0.11905131522207849,4977.0,1
ferguson-20000,4957,2633281233055.766,0.06464862894900943,5.4664370471940394e-05,0.007838986415882968,0.11905131522207849,4977.0,1
ferguson-20000,4958,2633355519281.5083,0.06462927452026597,5.4624406259692876e-05,0.007839994775339603,0.11905131522207849,4977.0,1
ferguson-20000,4959,2633429773095.515,0.06460992929162146,5.458448361173911e-05,0.007841003134796238,0.11905131522207849,4977.0,1
ferguson-20000,4960,2633503994522.666,0.06459059325672614,5.4544601933253524e-05,0.007841003134796238,0.11905131522207849,4978.0,1
ferguson-20000,4961,2633578183587.979,0.06457126640904579,5.4504760726923686e-05,0.007842011494252874,0.11905131522207849,4978.0,1
ferguson-20000,4962,2633652340351.451,0.064551948736144,5.446496163740928e-05,0.007843019853709509,0.11905131522207849,4978.0,1
ferguson-20000,4963,2633726464849.409,0.0645326402300094,5.442520463745699e-05,0.007844028213166146,0.11905131522207849,4978.0,1
ferguson-20000,4964,2633800557107.1094,0.06451334088446466,5.4385489046235225e-05,0.007844028213166146,0.11905131522207849,4979.0,1
ferguson-20000,4965,2633874617149.285,0.0644940506932319,5.434581425466976e-05,0.007845036572622779,0.11905131522207849,4979.0,1
ferguson-20000,4966,2633948645000.75,0.06447476964985716,5.4306179747425065e-05,0.007846044932079415,0.11905131522207849,4979.0,1
ferguson-20000,4967,2634022640686.3774,0.06445549774774026,5.426658508913637e-05,0.00784705329153605,0.11905131522207849,4979.0,1
ferguson-20000,4968,2634096604231.111,0.06443623498016772,5.4227029911271296e-05,0.00784705329153605,0.11905131522207849,4979.0,1
ferguson-20000,4969,2634170535660.0483,0.0644169813403102,5.4187513907184204e-05,0.007848061650992687,0.11905131522207849,4980.0,1
ferguson-20000,4970,2634244434998.5747,0.06439773682121669,5.414803683029886e-05,0.00784907001044932,0.11905131522207849,4980.0,1
ferguson-20000,4971,2634318302271.4546,0.06437850141598175,5.410859843094132e-05,0.00784907001044932,0.11905131522207849,4980.0,1
ferguson-20000,4972,2634392137504.362,0.0643592751174926,5.406919854712283e-05,0.007850078369905956,0.11905131522207849,4980.0,1
ferguson-20000,4973,2634465940726.242,0.06434005791806652,5.402983722980151e-05,0.007851086729362591,0.11905131522207849,4981.0,1
ferguson-20000,4974,2634539711962.603,0.06432084981062124,5.399051431257129e-05,0.007852095088819226,0.11895127210004314,4981.0,1
ferguson-20000,4975,2634613451238.7236,0.06430165078807962,5.395122963623091e-05,0.007852095088819226,0.11895127210004314,4981.0,1
