mass_g,radius_cm,density_g_cm3,temperature_K,luminosity_erg_s,X,Y3,Y4
6.088018712816732e+28,360234066.8137244,310.2059909718535,8445249.665416228,2.014045191488851e+28,0.15210814750299495,0.0002331035491516211,0.8276587489478536
6.699542467542915e+28,371940588.9333671,310.09027936347724,8443658.01301585,2.2150060580094582e+28,0.1521310428563384,0.00023345889342220728,0.8276354982502396
7.3603528693729045e+28,383817998.4125618,309.9691611270245,8441991.638290036,2.4319381195113333e+28,0.15215499603269392,0.0002338315487195705,0.8276111724185867
8.073446289224558e+28,395865461.74616265,309.84248013061506,8440248.472319905,2.6657792142273035e+28,0.15218005717973407,0.0002342221024897993,0.8275857207177764
8.841940067648628e+28,408082146.7957513,309.7101059345771,8438426.434270458,2.9175008026297953e+28,0.15220621220739802,0.00023463105220296288,0.8275591567403991
9.669074563642598e+28,420467222.9872298,309.5718725890969,8436523.432203911,3.188108098457072e+28,0.15223353260944636,0.00023505904004598202,0.8275314083505079
1.0558215141507147e+29,433019861.5062368,309.4276401592417,8434537.363882517,3.478640153737509e+28,0.15226202515136522,0.00023550661801044923,0.8275024682306246
1.1512854092635997e+29,445739234.7320109,309.277271567536,8432466.117573421,3.7901697278797155e+28,0.15229168861667133,0.0002359743367821697,0.8274723370465468
1.2536612489139274e+29,458624516.87205654,309.12059619817336,8430307.572896864,4.123803334146168e+28,0.15232260317003157,0.00023646288698433898,0.8274409339429843
1.3633241966209447e+29,471674884.0172315,308.95747497718986,8428059.60162963,4.480681124393037e+28,0.15235477110572937,0.000236972848989099,0.8274082560452818
1.4806626430156408e+29,484889513.71450245,308.7877586464206,8425720.068517666,4.861976585991195e+28,0.1523882192132499,0.0002375048543401555,0.8273742759324101
1.6060783689048485e+29,498267585.2026657,308.6112979204179,8423286.832129272,5.26889631763514e+28,0.15242297406757105,0.00023805954732919205,0.8273389663851
1.739986700291897e+29,511808279.433873,308.4279435663687,8420757.745693818,5.702679690513501e+28,0.1524590620016198,0.000238637585405495,0.8273023004129749
1.882816655051522e+29,525510779.09424204,308.23754648413825,8418130.65794602,6.16459843765145e+28,0.15249650907956874,0.00023923963960823067,0.8272642512808233
2.0350110809590287e+29,539374268.9913726,308.0399410072659,8415403.413973803,6.655956287324104e+28,0.15253538236135533,0.00023986646101470637,0.8272247511776302
2.1970267847766314e+29,553397935.3745447,307.83501001628457,8412573.856046421,7.17808819807713e+28,0.15257562988270704,0.0002405186256964448,0.8271838514915968
2.369334652102421e+29,567580965.9082026,307.6225905338587,8409639.82451275,7.732359679768512e+28,0.15261731304105167,0.00024119690617260679,0.8271414900527759
2.5524197576905223e+29,581922551.2868227,307.4024960187999,8406599.158690924,8.320166636556556e+28,0.15266055220189095,0.000241902186641812,0.8270975456114675
