age_yr,step_yr,R_Rsun,L_Lsun,Teff_K,central_X,central_Y3,step_error_norm,discrete_luminosity_balance,nuclear_rest_mass_balance,last_halfstep_coupling_iterations,convective_mass_fraction,central_T_K,central_rho,surface_X,surface_Y3
1842557936974.5872,2191921837.564171,0.14751606469233633,0.0016003104742072938,3005.7854878240196,0.4502037555042999,0.03351601910530581,0.8053205010488673,2.220446049250313e-16,-1.2919890712836946e-09,4,1.0000000000000007,5694098.857261334,243.48155887584028,0.4502037555042999,0.03351601910530581
1844756217919.339,2198280944.7521024,0.14751962659244783,0.0016007828616093312,3005.970988220137,0.44994505576462723,0.0333955824074975,0.8369904019867036,1.1102230246251565e-15,-1.3119327846311535e-09,4,1.0000000000000007,5695981.084467692,243.4710310297029,0.44994505576462723,0.0333955824074975
1846918764475.3289,2162546555.9896927,0.1475235400723903,0.0016011870635846352,3006.120850463463,0.4496902471592996,0.03327744755422982,0.8459742870808862,-1.1102230246251565e-15,-1.2374357094557809e-09,4,1.0000000000000007,5697823.618512532,243.45872447792993,0.4496902471592996,0.03327744755422982
1849034831374.5713,2116066899.2423232,0.14752737925201181,0.0016015854506849618,3006.268701666599,0.44944061398565294,0.03316218453900805,0.8076146543189999,1.3322676295501878e-15,-1.1457996773600598e-09,4,1.0000000000000007,5699628.7980082985,243.44667614354236,0.44944061398565294,0.03316218453900805
1851154020944.652,2119189570.0811327,0.14753123338678037,0.0016019865797492513,3006.417648724006,0.4491903124304819,0.03304708212657377,0.8067709827974667,0,-1.155122886231652e-09,4,1.0000000000000007,5701438.897884567,243.43460016568838,0.4491903124304819,0.03304708212657377
1853277447198.0002,2123426253.3481355,0.1475351063964956,0.00160238977385931,3006.567333400853,0.4489392096383809,0.032932080528772834,0.8083433487154901,8.881784197001252e-16,-1.1811198685762747e-09,4,1.0000000000000007,5703254.737495702,243.4224587406474,0.4489392096383809,0.032932080528772834
1855403048255.1074,2125601057.10701,0.14753899616586563,0.001602794553077896,3006.7175515869367,0.4486875484812166,0.03281729205907144,0.8071962420003187,2.886579864025407e-15,-1.1991931891941476e-09,4,1.0000000000000007,5705074.551971049,243.41025328589822,0.4486875484812166,0.03281729205907144
1857532337699.5403,2129289444.4332092,0.14754291056163593,0.0016031999458679064,3006.8677671357364,0.44843514882511054,0.032702635548843034,0.8104593234720125,1.5543122344752192e-15,-1.2172972629898027e-09,4,1.0000000000000007,5706899.452780347,243.3979338992038,0.44843514882511054,0.032702635548843034
1859661023676.776,2128685977.2355509,0.14754684431060103,0.0016036015349486382,3007.015962826871,0.4481825192361949,0.032588343292636796,0.8102620917965764,2.220446049250313e-16,-1.2297406426498014e-09,4,1.0000000000000007,5708725.103646603,243.38540300805863,0.4481825192361949,0.032588343292636796
1861789365347.977,2128341671.200928,0.14755079713660055,0.001604003188036572,3007.163955342063,0.4479296295652171,0.03247440074317311,0.8077242936305185,-3.3306690738754696e-16,-1.2338637889186543e-09,4,1.0000000000000007,5710552.453104047,243.37277296823476,0.4479296295652171,0.03247440074317311
1863920703136.7837,2131337788.8066943,0.14755477546615905,0.0016044063026594752,3007.3123340623774,0.4476760826907857,0.03236062884741239,0.8074539060293207,6.661338147750939e-16,-1.25243992954438e-09,4,1.0000000000000007,5712384.574702862,243.360047435637,0.4476760826907857,0.03236062884741239
1866055398587.9631,2134695451.179375,0.14755877581193938,0.0016048101154340863,3007.4607764606417,0.4474218347250234,0.0322470089640777,0.8082518210966727,-8.881784197001252e-16,-1.2753141875876395e-09,4,1.0000000000000007,5714221.706085536,243.34719679034484,0.4474218347250234,0.0322470089640777
1868192401373.1492,2137002785.1862288,0.14756280139935943,0.0016052148383197417,3007.6093487550306,0.44716701009393034,0.03213359742969346,0.8077619426116733,0,-1.29041088925419e-09,4,1.0000000000000007,5716063.105942536,243.33424218568064,0.44716701009393034,0.03213359742969346
1870332362595.9229,2139961222.7738125,0.1475668489210679,0.0016056194387310215,3007.757600814884,0.4469115305009497,0.032020360331602354,0.8086613005608978,-1.3322676295501878e-15,-1.3093758299831393e-09,4,1.0000000000000007,5717909.246618894,243.32114646611396,0.4469115305009497,0.032020360331602354
1872474094387.0713,2141731791.1485279,0.1475709167324611,0.001606024357886475,3007.9057560270912,0.44665553726938856,0.031907360939564235,0.8081372340762449,4.440892098500626e-16,-1.3261651776730332e-09,4,1.0000000000000007,5719759.3617204735,243.3079447276258,0.44665553726938856,0.031907360939564235
