pulse_years,Teff_K,radius_cm,photon_luminosity_erg_s,nuclear_power_erg_s,logg,run
1784656.4364848863,6352.428442681657,9751990194.146544,1.103487045121981e+32,4.098530479079748e+31,5.144725122183792,37
1791056.4364848863,6351.7754168212905,9737087198.888512,1.0996646278187636e+32,4.082014491884477e+31,5.146053515464892,37
1797456.4364848863,6351.12501046664,9722286087.082949,1.0958750466037913e+32,4.0656160748104495e+31,5.147374841147553,37
1803856.4364848863,6350.475573611903,9707581450.534622,1.0921157906812423e+32,4.049334215418156e+31,5.14868954773898,37
1810256.4364848863,6349.823663195416,9692965285.4884,1.088382562580991e+32,4.0331678608106755e+31,5.14999831931403,37
1816656.4364848863,6349.1690321192555,9678436606.746675,1.0846748677809858e+32,4.0171159680556415e+31,5.151301214421999,37
1823056.4364848863,6348.511977787568,9663994907.657387,1.0809926940490032e+32,4.0011775077324164e+31,5.15259824915821,37
1829456.4364848863,6347.852430663002,9649639828.091438,1.0773358114008778e+32,3.9853514604548955e+31,5.153889426728067,37
1835856.4364848863,6347.190406668498,9635370942.068918,1.073704034682755e+32,3.9696368127303637e+31,5.155174756493689,37
1842256.4364848863,6346.525751777115,9621187339.05898,1.0700969573527186e+32,3.9540325563493234e+31,5.156454291817654,37
1848656.4364848863,6345.859044288521,9607088869.053858,1.0665148373526208e+32,3.938537701866007e+31,5.157728017815234,37
1855056.4364848863,6345.190481364588,9593074817.496988,1.0629575477616967e+32,3.9231512703231457e+31,5.158995970826555,37
1858256.4364848863,6344.854288540773,9586083192.066086,1.0611837704633753e+32,3.915501295067538e+31,5.159629246693445,37
1861456.4364848863,6344.517473560607,9579112111.533215,1.0594159429149873e+32,3.9078780229298316e+31,5.160261121692659,37
1866256.4364848863,6344.01213547291,9568706056.366316,1.0567786923696137e+32,3.896490798272865e+31,5.161205206860516,37
1871056.4364848863,6343.505728521109,9558346562.682158,1.0541550463464844e+32,3.8851630152453967e+31,5.162146088128922,37
1877456.4364848863,6342.830203140733,9544621789.761011,1.0506822384883794e+32,3.870148404995862e+31,5.163394186133516,37
1883856.4364848863,6342.153308834775,9530979006.79305,1.0472336065720122e+32,3.8552378995208316e+31,5.1646366081016,37
1890256.4364848863,6341.47480283306,9517416777.814497,1.04380857718178e+32,3.8404305847990207e+31,5.165873458127096,37
1896656.4364848863,6340.7946613053255,9503934207.728666,1.040406843847391e+32,3.8257255703595273e+31,5.167104791648088,37
1903056.4364848863,6340.112964686225,9490530425.98179,1.0370281757705661e+32,3.8111219534367864e+31,5.168330662348382,37
1909456.4364848863,6339.429591054593,9477204663.921772,1.0336722335796695e+32,3.7966188380491967e+31,5.169551115049676,37
1915856.4364848863,6338.744610435647,9463956187.863855,1.030338812973187e+32,3.7822153366720585e+31,5.170766191787352,37
1922256.4364848863,6338.057902106654,9450784262.948471,1.0270275867765596e+32,3.767910569413325e+31,5.171975935108206,37
1928656.4364848863,6337.369638247905,9437688131.074646,1.023738414581951e+32,3.7537036657713924e+31,5.173180390100608,37
1935056.4364848863,6336.679902464193,9424667065.040865,1.0204711058349017e+32,3.7395937645911363e+31,5.174379599418098,37
1941456.4364848863,6335.988633937783,9411720375.10481,1.0172253862131473e+32,3.7255800105215646e+31,5.17557360265283,37
1947856.4364848863,6335.295957675189,9398847293.75691,1.014001085539929e+32,3.7116615560475627e+31,5.176762446959007,37
1954256.4364848863,6334.601859302201,9386047123.574003,1.0107979603767407e+32,3.6978375622756736e+31,5.177946173418095,37
1960656.4364848863,6333.906258337249,9373319211.375195,1.0076157363118107e+32,3.6841071983740253e+31,5.1791248193880275,37
1967056.4364848863,6333.209187563237,9360662840.661116,1.0044541992080451e+32,3.6704696414327617e+31,5.180298428454806,37
1973456.4364848863,6332.5106489655245,9348077365.978527,1.0013131318854666e+32,3.6569240757025496e+31,5.181467037986158,37
1979856.4364848863,6331.8106337286445,9335562046.510204,9.981922912935985e+31,3.6434696920491514e+31,5.182630694568755,37
1986256.4364848863,6331.1090381067315,9323116178.462158,9.950913841518087e+31,3.6301056886922458e+31,5.1837894417323485,37
1992656.4364848863,6330.40613408204,9310739454.802505,9.920104394325207e+31,3.616831274539406e+31,5.184943286365616,37
1999056.4364848863,6329.701933304613,9298431222.860577,9.889492486574536e+31,3.6036456662620625e+31,5.186092267819205,37
2005456.4364848863,6328.996389013458,9286190825.490175,9.859075672447222e+31,3.5905480877564325e+31,5.1872364262076,37
2011856.4364848863,6328.289753680872,9274017607.794075,9.828853386621652e+31,3.57753777045457e+31,5.188375801780779,37
2018256.4364848863,6327.582212776018,9261911160.425018,9.798825162914379e+31,3.564613955096169e+31,5.189510412104591,37
2024656.4364848863,6326.873418694491,9249870508.935015,9.7689860451878e+31,3.5517758870323316e+31,5.19064032803196,37
2031056.4364848863,6326.163324897128,9237895102.102406,9.739333866702887e+31,3.539022818628043e+31,5.191765581119381,37
2037456.4364848863,6325.452188117071,9225984263.48969,9.709868073932982e+31,3.5263540104893355e+31,5.192886215001234,37
2043856.4364848863,6324.73992771911,9214137404.257738,9.680586226614555e+31,3.5137687299290237e+31,5.1940022654032605,37
2050256.4364848863,6324.026602485767,9202353887.290442,9.651486651815165e+31,3.5012662500344683e+31,5.195113772913274,37
2056656.4364848863,6323.312112676401,9190633156.82724,9.622566890220262e+31,3.488845850890361e+31,5.196220770757798,37
2063056.4364848863,6322.59650051308,9178974654.659796,9.593825357128401e+31,3.4765068196463524e+31,5.197323292682132,37
2069456.4364848863,6321.879788705335,9167377847.931437,9.565260410694697e+31,3.4642484502908705e+31,5.198421370316886,37
2075856.4364848863,6321.161964545711,9155842242.45844,9.536870284891553e+31,3.4520700442697145e+31,5.199515031898094,37
2084478.079553527,6320.195320460539,9140419541.09433,9.498955669705201e+31,3.4357873677218687e+31,5.200979373797907,38
2093099.7226221676,6319.226983118745,9125105697.915648,9.461352626836717e+31,3.4196469692811733e+31,5.202435826664278,38
2103142.4333820725,6318.098194656744,9107418410.978119,9.417977847961263e+31,3.401022113070548e+31,5.204121055430318,38
2113185.1441419777,6316.966739905236,9089874455.792812,9.375009828998278e+31,3.3825855674646286e+31,5.205795863951382,38
2124072.5515178326,6315.738941693357,9071023297.000452,9.328908784012733e+31,3.362807373291169e+31,5.207599069341957,38
2134959.9588936875,6314.508198110356,9052334227.256752,9.28326797706799e+31,3.343244378649094e+31,5.209390473109783,38
2146352.88453201,6313.218070330293,9032954426.717276,9.236010173200555e+31,3.322999651229944e+31,5.211251995768831,38
2157745.8101703324,6311.924989788497,9013747019.431726,9.189241115224528e+31,3.3029836478468376e+31,5.213100904096019,38
2169462.19853705,6310.592497613393,8994174870.168016,9.141654469957349e+31,3.2826340415509144e+31,5.2149889797603395,38
2181178.5869037667,6309.257452298825,8974779673.427317,9.094570406107229e+31,3.2625190012224336e+31,5.216864042701954,38
2193125.319680111,6307.893202753649,8955184620.106773,9.04707134603765e+31,3.2422461295626293e+31,5.218762546631666,38
2205072.0524564553,6306.525727607145,8935767498.146193,9.00007250754399e+31,3.222209653544554e+31,5.2206479135315655,38
2217203.0661014994,6305.138525162043,8916236812.272543,8.952891477155234e+31,3.20210216978803e+31,5.222548444662818,38
2229334.0797465434,6303.752216633946,8896887699.230036,8.906239170944463e+31,3.182230946623063e+31,5.224435416557865,38
2241627.5601201192,6302.34378278731,8877456083.280455,8.859455354040324e+31,3.162330688708207e+31,5.226334568964653,38
2253921.0404936955,6300.93158846468,8858198424.883736,8.813156184748011e+31,3.1426653602102177e+31,5.228220825388754,38
2266367.2214252655,6299.498476327646,8838878391.470587,8.766774163717176e+31,3.1229911805968515e+31,5.230117316503521,39
2278813.4023568355,6298.062115482289,8819732437.523436,8.720877368049831e+31,3.1035501227637663e+31,5.232000813566517,39
2291408.6340473173,6296.605257561537,8800533893.238045,8.674920651273986e+31,3.0841096887434485e+31,5.233893594296767,39
2304003.8657377986,6295.145166558546,8781509147.774681,8.629445981427477e+31,3.0649003364614275e+31,5.235773317871489,39
2316747.5724956426,6293.664868892761,8762435750.213984,8.583921702993619e+31,3.0456958644163763e+31,5.237661940897494,39
2329491.2792534865,6292.181588991146,8743535538.273434,8.538876855214065e+31,3.02672032623284e+31,5.239537474863953,39
2342291.2792534865,6290.688901324464,8724724185.009586,8.494109325228035e+31,3.007887657588352e+31,5.241408221053241,39
2355091.2792534865,6289.193478120248,8706082415.187931,8.449810518419394e+31,2.9892784873991435e+31,5.243266085933237,39
2367891.2792534865,6287.695737161312,8687607843.788784,8.405974920349013e+31,2.970889184288189e+31,5.245111216509189,39
2380691.2792534865,6286.195955785837,8669297688.89461,8.362595540220183e+31,2.9527161924298614e+31,5.246943801740047,39
2393491.2792534865,6284.6935582269625,8651149297.814747,8.319661179168732e+31,2.9347560178545267e+31,5.2487640201193715,39
2406291.2792534865,6283.188650836539,8633160451.528257,8.277165209475306e+31,2.9170052347704303e+31,5.250572008893492,39
2419091.2792534865,6281.673631054163,8615333569.521124,8.235069509222504e+31,2.8994604266978284e+31,5.252367439667327,39
2431891.2792534865,6280.153994951347,8597666211.486906,8.193395784916553e+31,2.882118290993435e+31,5.254150473164359,39
2444691.2792534865,6278.6330838226995,8580154310.266959,8.152150977116154e+31,2.8649756132827473e+31,5.25592143699356,39
2457491.2792534865,6277.111160145179,8562794494.847688,8.111327211464986e+31,2.8480292361548434e+31,5.257680591665545,39
2470291.2792534865,6275.587404820531,8545584409.736405,8.070913040820349e+31,2.8312760555679574e+31,5.259428097390015,39
2483091.2792534865,6274.062001028215,8528521664.984237,8.030902239235775e+31,2.814713029786949e+31,5.261164119955732,39
2495891.2792534865,6272.535026555216,8511603892.888227,7.991288141293687e+31,2.7983371662914272e+31,5.262888824966032,39
2508691.2792534865,6271.0063045888655,8494828996.843273,7.952063362560532e+31,2.7821455324072526e+31,5.2646023523581205,39
2521491.2792534865,6269.475935713564,8478194730.836808,7.913221722275808e+31,2.766135257522017e+31,5.266304859198603,39
2534291.2792534865,6267.943862088066,8461699438.878197,7.87475739992121e+31,2.7503035254098002e+31,5.267996443919847,39
2547091.2792534865,6266.41053098103,8445341252.490401,7.836666766759275e+31,2.734647577020564e+31,5.269677228257848,39
2559891.2792534865,6264.876376034726,8429117899.404175,7.798945395983041e+31,2.7191647080013956e+31,5.271347377168867,39
2572691.2792534865,6263.34028190191,8413027878.165845,7.76158263207669e+31,2.703852255751675e+31,5.273006977947931,39
2585491.2792534865,6261.8029375082515,8397069399.774203,7.724576343256288e+31,2.688707611927109e+31,5.274656148936665,39
2598291.2792534865,6260.264596840327,8381240621.534181,7.687922155264603e+31,2.6737282182276764e+31,5.27629501556283,39
2611091.2792534865,6258.725608616726,8365539831.202902,7.651616428470102e+31,2.6589115674265503e+31,5.277923691264288,39
2617491.2792534865,6257.952605228791,8357713819.45653,7.633534482066676e+31,2.6515626181091217e+31,5.2787366416711565,39
2623891.2792534865,6257.179037743237,8349918746.97191,7.615535136536988e+31,2.6442534237744687e+31,5.279547135246062,39
2633491.2792534865,6256.02039915577,8338301420.381333,7.588735324144963e+31,2.633364178398379e+31,5.280756453339224,39
2643091.2792534865,6254.861320626151,8326753944.946882,7.562124173141387e+31,2.622562697849829e+31,5.281960171071636,39
2648506.1598735913,6254.205703164636,8320258852.42462,7.547166330163938e+31,2.6165079393211025e+31,5.2826379582564815,39
